City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,6.55,74,100,2.58,GL,1686614895
1,zhigalovo,54.8097,105.1578,11.46,80,100,0.41,RU,1686614895
2,adamstown,-25.066,-130.1015,20.25,64,14,2.83,PN,1686614881
3,albany,42.6001,-73.9662,24.24,57,99,1.34,US,1686614786
4,kodiak,57.79,-152.4072,12.73,50,20,7.72,US,1686614625
5,port-aux-francais,-49.35,70.2167,6.37,91,100,13.99,TF,1686614896
6,kirakira,-10.4544,161.9205,29.83,70,26,3.06,SB,1686614896
7,quezon,7.7303,125.0989,26.15,84,88,0.55,PH,1686614897
8,palmer,42.1584,-72.3287,22.78,67,100,2.24,US,1686614897
9,puerto montt,-41.4698,-72.9447,5.91,81,8,4.12,CL,1686614897
10,klyuchi,52.2667,79.1667,15.45,84,66,4.34,RU,1686614897
11,glendale,33.5387,-112.186,33.97,19,0,5.66,US,1686614860
12,opuwo,-18.0607,13.84,11.96,16,10,2.61,NA,1686614898
13,udachny,66.4167,112.4,14.14,40,25,6.75,RU,1686614898
14,edinburgh of the seven seas,-37.0676,-12.3116,15.23,93,100,9.2,SH,1686614898
15,hawaiian paradise park,19.5933,-154.9731,27.73,51,40,4.12,US,1686614899
16,hermanus,-34.4187,19.2345,15.45,85,100,12.4,ZA,1686614899
17,bathsheba,13.2167,-59.5167,28.34,83,75,4.63,BB,1686614790
18,saldanha,-33.0117,17.9442,14.63,80,85,7.13,ZA,1686614899
19,port lincoln,-34.7333,135.8667,13.77,62,77,10.06,AU,1686614900
20,fort bragg,35.139,-79.006,26.57,80,100,3.09,US,1686614842
21,ushuaia,-54.8,-68.3,4.81,81,40,12.86,AR,1686614883
22,bredasdorp,-34.5322,20.0403,13.46,69,100,10.78,ZA,1686614900
23,weno,7.4515,151.8468,29.06,78,81,8.06,FM,1686614901
24,tekkali,18.6167,84.2333,31.26,51,70,2.25,IN,1686614901
25,kingston,17.997,-76.7936,30.53,68,20,8.23,JM,1686614695
26,tofol,5.3248,163.0078,28.88,74,100,5.14,FM,1686614902
27,grytviken,-54.2811,-36.5092,-1.58,93,77,3.58,GS,1686614894
28,egersund,58.4513,5.9997,15.05,56,22,1.91,NO,1686614902
29,severo-yeniseyskiy,60.3725,93.0408,8.01,79,100,1.67,RU,1686614903
30,maridi,4.9158,29.4742,19.19,94,68,2.08,SS,1686614903
31,axim,4.8699,-2.2405,24.88,72,49,2.27,GH,1686614903
32,anadyr,64.75,177.4833,15.28,51,0,4.0,RU,1686614903
33,thompson,55.7435,-97.8558,24.15,35,9,3.55,CA,1686614904
34,alesund,62.4723,6.1549,15.05,82,100,2.06,NO,1686614904
35,tiksi,71.6872,128.8694,1.96,95,80,1.38,RU,1686614904
36,dudinka,69.4058,86.1778,7.57,76,92,2.78,RU,1686614905
37,talnakh,69.4865,88.3972,7.34,91,99,2.51,RU,1686614905
38,betio village,1.358,172.9211,29.02,79,59,6.13,KI,1686614905
39,korla,41.7597,86.1469,28.86,24,90,5.86,CN,1686614906
40,lihue,21.9789,-159.3672,28.58,72,40,5.14,US,1686614906
41,yanchep,-31.55,115.6833,12.01,70,85,2.79,AU,1686614906
42,port mathurin,-19.6833,63.4167,24.64,68,39,6.56,MU,1686614906
43,nemuro,43.3236,145.575,12.23,97,100,4.93,JP,1686614907
44,bethel,41.3712,-73.414,20.75,88,100,3.6,US,1686614907
